,"Average Days in Stock","Current","1 - 60","61 - 120","121 - 180","> 180","TOTAL"
"Inventory","","","","","","",
"AT-UD20-U2-16G-BLUE (UD20 - Twist - Blue 295 16G  USB 2.0 Drive)",187.00,0.00,0.00,0.00,236.00,57.50,293.50
"AT-UD20-U2-4G-286BLUE (UD20 - Twist - 286 Blue 4G  USB 2.0 Drive)",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"AT-UD20-U2-4G-BLACK (UD20 - Twist - Black 4G  USB 2.0 Drive)",45.00,0.00,247.50,0.00,0.00,0.00,247.50
"AT-UD20-U2-4G-RED (UD20 - Twist - Red 4G  USB 2.0 Drive)",358.00,0.00,0.00,0.00,0.00,0.00,0.00
"AT-UD20-U2-8G-286BLUE (UD20 - Twist - 286 Blue 8G  USB 2.0 Drive)",662.00,0.00,0.00,0.00,0.00,28.50,28.50
"AT-UD20-U2-8G-BLACK (UD20 - Twist - Black 8G  USB 2.0 Drive)",57.00,0.00,900.90,0.00,414.37,0.00,1315.27
"AT-UD20-U2-8G-BLUE (UD20 - Twist - Blue 295 8G  USB 2.0 Drive)",672.00,0.00,0.00,0.00,0.00,49.72,49.72
"AT-UD20-U2-8G-RED (UD20 - Twist - Red 8G  USB 2.0 Drive)",635.00,0.00,0.00,0.00,0.00,915.20,915.20
"AT-UD20-U2-8G-Reflex Blue (UD20 - Twist - Reflex Blue 8G  USB 2.0 Drive)",504.00,0.00,0.00,0.00,0.00,107.00,107.00
"AT-UD807-U2-8G (UD807 - - 8GB  USB 2.0 Drive with Apple lightning connector.)",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"AT-UD95-U2-4G-WHITE (UD95 - Slim -  4GB White USB 2.0 Drive)",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"AT-UD95-U2-8G-WHITE (UD95 - Slim -  8GB White USB 2.0 Drive)",397.00,0.00,0.00,0.00,0.00,0.00,0.00
"AT01 (AT01 - MFi Air Tracker - White.)",22.00,0.00,21102.50,2242.50,0.00,0.00,23345.00
"AT02 (AT02 - Credit Card style MFi Air Tracker - White. Non rechargeable battery.)",407.00,0.00,0.00,0.00,0.00,1960.20,1960.20
"AT03 (AT03 - Credit Card style MFi Air Tracker - White. Wireless rechargeable bat...",333.00,0.00,0.00,0.00,0.00,2866.50,2866.50
"AT05 (AT05 - Black  Luggage Tag style MFi Air Tracker -. Wireless rechargeable ba...",10.00,0.00,11881.60,0.00,0.00,0.00,11881.60
"AT06 (AT06 -Clear Grey LED Keychain Flashlight with built in Findmy.)",66.00,0.00,2550.00,5762.40,0.00,0.00,8312.40
"AT07 (AT07 -Black Magnetic Phone Vfold Phone wallet with Apple Findmy.)",234.00,0.00,0.00,0.00,0.00,7793.40,7793.40
"AT08 (AT08 - Black 4400 mah Power Bank with built in Apple Findmy.  Magsafe compa...",234.00,0.00,0.00,0.00,0.00,18018.00,18018.00
"BA03 (BA03 -Wheat Straw multi Port data protector.)",978.00,0.00,0.00,0.00,0.00,199.63,199.63
"BF-FS55-CTA (Floorstand for 55"" Display)",242.00,0.00,0.00,0.00,0.00,1000.00,1000.00
"BSBI-1144XT-PP-WIFI. (BrightSign Built-In XT1144-PP board with WiFi)",177.00,0.00,0.00,0.00,858.00,0.00,858.00
"BSBI-HS123 (BrightSign Built-In HS123 companion board)",1465.00,0.00,0.00,0.00,0.00,0.00,0.00
"BSBI-HS124 (BrightSign Built-In HS124 companion board)",743.00,0.00,0.00,0.00,0.00,26691.00,26691.00
"BSBI-HS125 (BrightSign Built-In HS125 companion board)",60.00,0.00,10560.00,3960.00,0.00,0.00,14520.00
"BSBI-HS144 (BrightSign Built-In HS144, 4K companion board)",738.00,0.00,0.00,0.00,0.00,13113.00,13113.00
"BSBI-HS145 (BrightSign Built-In HS145 companion board)",48.00,0.00,395505.00,13043.25,0.00,0.00,408548.25
"BSBI-LS424 (BrightSign LS424 media player)",704.00,0.00,0.00,0.00,0.00,750.00,750.00
"BSBI-WD104 (BrightSign Built-In WD104, dual antenna Wi-Fi Module  )",279.00,0.00,112.50,1406.25,0.00,7031.25,8550.00
"BSBI-WD104-500 (BrightSign Built-In WD104, dual antenna Wi-Fi Module, 500mm long ...",202.00,0.00,0.00,0.00,0.00,0.00,0.00
"BSBI-WIFI (BrightSign Built-In Wi-Fi Module, WS103 Series 3 WIFI/Bluetooth  )",639.00,0.00,0.00,0.00,0.00,1925.00,1925.00
"BSBI-XT1144-PP (BrightSign Built-In XT1144-PP-PCBA)",181.00,0.00,183.00,4575.00,183.00,7869.00,12810.00
"CA10 (CA10 - 2 port Car Charger - 30W PD and 18W QC.   Input: DC 12-24V, USB-C ou...",1492.00,0.00,0.00,0.00,0.00,0.00,0.00
"CB30-BLACK (CB30 - Black Keychain Cable - 6 pin lightning, micro usb magnetic key...",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"CB34-RED (CB34 - Red Square keychain 3 in 1 Charging cable.  6 pin lightning, mic...",1492.00,0.00,0.00,0.00,0.00,0.00,0.00
"CB46-BLACK (CB46 -Black -  Keychain 3 in charging Cable with aluminum accents.  I...",232.00,0.00,10.00,0.00,0.00,100.00,110.00
"CB47-BLACK (CB47-Black -  Braided 3 in 1 Charging cable with aluminum trim.  Incl...",388.00,0.00,0.00,0.00,0.00,185.85,185.85
"CB61 (CB61- - Bamboo Charging Cable, USB A input, USB C input, USB C output ( 2A ...",77.00,0.00,0.00,883.65,0.00,0.00,883.65
"CB62 (CB62- - Bamboo Charging Cable Kit. Includes USB-A  to USB-C cable and, C to...",25.00,0.00,8241.75,0.00,0.00,0.00,8241.75
"CB64-BLACK (CB64- - Black Square retractable 3 in 1 charging cable with phone sta...",312.00,0.00,0.00,0.00,0.00,21.60,21.60
"CB64-WHITE (CB64- - White Square retractable 3 in 1 charging cable with phone sta...",391.00,0.00,0.00,0.00,0.00,1060.80,1060.80
"CB65 (CB65- - White 1M 60 Watt USB C to USB C charging cable.)",375.00,0.00,0.00,0.00,0.00,228.80,228.80
"CB66 (CB66- - Black Braided Type C 60 Watt PD 3 in 1 data cable.  Type C 60Wpd ou...",185.00,0.00,0.00,0.00,0.00,554.61,554.61
"CB78 (CB78 - Type C 100 Watt, 3 in 1 Retractable Data Cable.  Features Type C inp...",93.00,0.00,0.00,2275.25,0.00,0.00,2275.25
"CR01 (CR01 - Custom PVC Croc Charms)",36.00,0.00,147.75,0.00,0.00,0.00,147.75
"CT-BAG (Plastic Bag for Cooling Towel)",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"CT-RPET LABEL (Labels for Rpet Cooling Towel.)",413.00,0.00,0.00,0.00,0.00,0.00,0.00
"DF11-WHITE (DF11 - 9.7"" IPS LCD advertising player with integrated 15W mobile pho...",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"DW01-SILVER (20 Oz  Silver -  Double Wall Stainless Tumbler)",719.00,0.00,0.00,0.00,0.00,14510.52,14510.52
"DW01P-BLACK (20 Oz  Black - Powder Coated Double Wall Stainless Tumbler)",896.00,0.00,0.00,0.00,0.00,12189.06,12189.06
"DW01P-WHITE (20 Oz  White - Powder Coated Double Wall Stainless Tumbler)",159.00,0.00,0.00,0.00,3510.00,1177.02,4687.02
"DW02-BLACK (DW02- Black - 30oz - Double Wall Stainless Vacuum Tumbler.)",1239.00,0.00,0.00,0.00,0.00,485.46,485.46
"DW02-SILVER (DW02- Silver- 30oz - Double Wall Stainless Vacuum Tumbler.)",365.00,0.00,0.00,0.00,0.00,1951.25,1951.25
"DW06-BLACK (DW06- Black - 12oz cup with stainless band.)",847.00,0.00,0.00,0.00,0.00,5431.12,5431.12
"DW06-RED (DW06- Red 12oz cup with stainless band.)",1229.00,0.00,0.00,0.00,0.00,1658.80,1658.80
"DW06-SILVER (DW06- Silver - 12oz cup with stainless band.)",791.00,0.00,0.00,0.00,0.00,4139.85,4139.85
"DW06-WHITE (DW06- White 12oz cup with stainless band.)",708.00,0.00,0.00,0.00,0.00,201.84,201.84
"DW07-BLACK (DW07- Black - 20oz straw bottle.)",389.00,0.00,0.00,0.00,0.00,4419.87,4419.87
"DW07-WHITE (DW07- White - 20oz straw bottle.)",708.00,0.00,0.00,0.00,0.00,2440.62,2440.62
"DW16-RED (DW16- Red - 20 OZ Double Wall Vacuum Stainless Tumbler with straw and B...",1239.00,0.00,0.00,0.00,0.00,992.20,992.20
"EB54 (EB54 - Bone Conduction Headphones.   Bluetooth 5.0)",397.00,0.00,0.00,0.00,0.00,0.00,0.00
"EB56 (EB56 - Budget Bluetooth earbuds.)",25.00,0.00,66.00,0.00,0.00,0.00,66.00
"EC01-BLACK (EC01 - Silicone Airpod Case Covers - Black Silicone Case Cover for Ap...",374.00,0.00,0.00,0.00,0.00,38.71,38.71
"EC03-BLUE (EC03 - Royal Blue ThinSilicone Airpod Case Covers - for Apple Airpods,...",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"EC05-BLUE (EC05 - Silicone Airpod Plus Case Covers - Blue Silicone Case Cover for...",220.00,0.00,0.00,0.00,0.00,102.07,102.07
"EC07-BLACK (EC07 - Silicone Airtag Keyring Covers - Black Silicone Case Cover for...",647.00,0.00,0.00,0.00,0.00,48.80,48.80
"EC07B-BLUE (EC07B - Silicone Airtag Keyring Covers - Blue Silicone Case Cover for...",71.00,0.00,0.00,2.30,0.00,0.00,2.30
"EC09-BLACK (EC09 - - Black Leather Case for Apple Airtags includes Split ring key...",19.00,39.13,1668.03,0.00,0.00,0.00,1707.16
"EC09-BROWN (EC09 - - Brown Leather Case for Apple Airtags includes Split ring key...",203.00,4.95,0.00,0.00,0.00,634.38,639.33
"EC10-BLACK (EC10 - - Black Silicone Apple Airpods Gen 3 Case with carabiner.)",105.00,0.00,0.00,168.97,0.00,0.00,168.97
"ES04 (ES04 - Bluetooth Earbud Connector to transmit through 3.5mm audio jack.  Ea...",50.00,0.00,13650.00,11597.95,0.00,0.00,25247.95
"ES05 (ES05 -White Bluetooth Wireless Transmitter witih LED.Transmit or recieve to...",123.00,0.00,0.00,0.00,4158.30,0.00,4158.30
"FM04 (FM04 - Face Shield)",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"FN05-PURPLE (FN05 -3 in 1 Fan - Purple with Purple trim Silcone Fan with Type C, ...",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"FN05B-BLACK (FN05B -3 in 1 Fan - Black with black trim Silcone Fan with Type C,  ...",249.00,0.00,62.70,0.00,0.00,1045.00,1107.70
"FN05B-WHITE (FN05B -3 in 1 Fan - White with black trim Silcone Fan with Type C,  ...",53.00,0.00,1662.10,368.50,0.00,0.00,2030.60
"FN09B-WHITE (FN09B - - White Cool Breeze Neck Fan.)",93.00,0.00,0.00,7245.00,5428.50,0.00,12673.50
"FN15 (FN15 Charcoal Grey Aluminum Mini Fan.  3 Speeds, 4000mah battery. Up to 20 ...",10.00,0.00,8919.00,0.00,0.00,0.00,8919.00
"HS03-BEIGE (HS03 - Beige Wheat Straw Dog Bone Shaped Dog Poop bag holder.)",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"HW02-BLACK (HW02  2 Pack of Black Handwarmers.  3 heat settings, white box package.)",60.00,0.00,24287.90,0.00,0.00,0.00,24287.90
"IC07 (IC07- Rotate  Ipad 10.2 Case.  Leatherette case rotates 360 degrees for ult...",137.00,0.00,0.00,0.00,1.95,0.00,1.95
"IS01-BLACK (IS01- """"- Black Aluminum Tablet /  Mobile Device Stand.)",814.00,0.00,0.00,0.00,0.00,1648.76,1648.76
"IS01-BLUE (IS01- """"- Blue Aluminum Tablet /  Mobile Device Stand.)",397.00,0.00,0.00,0.00,0.00,0.00,0.00
"IS01-SILVER (IS01- """"- Silver Aluminum Tablet /  Mobile Device Stand.)",814.00,0.00,0.00,0.00,0.00,2242.84,2242.84
"IS03-BLACK (IS03- """"- Folding Black Aluminum Tablet /  Mobile Device Stand.)",193.00,0.00,0.00,0.00,0.00,550.80,550.80
"IS03-SILVER (IS03- """"- Folding Silver Aluminum Tablet /  Mobile Device Stand.)",100.00,0.00,0.00,1398.32,0.00,0.00,1398.32
"JB01-BLACK (JB-Topaz, Black 2200 MaH Emergency Charger.  5V, 1A Output via USB.  ...",57.00,0.00,2.50,0.00,0.00,0.00,2.50
"JB2169-GREY (JB2169- 5K mah Dark  Aluminum Magsafe Compatible Power Bank with u s...",22.00,0.00,19363.50,0.00,0.00,0.00,19363.50
"JB25-BLACK (JB-Aluminum Black 4000 MaH Emergency Charger.  5V, 2.1 & 1A Output vi...",94.00,0.00,0.00,1925.00,0.00,3.85,1928.85
"JB39D-WHITE (JB39D -  Compact White 5000mah High Density Power bank. USB C output.)",123.00,0.00,0.00,0.00,1310.40,0.00,1310.40
"JB43-WHITE (JB43 -  White 10,000mah Power Bank, Output: 1 x 2.1A, 1 x 1A)",70.00,0.00,0.00,94.16,0.00,0.00,94.16
"JB57 (JB57 - 5000 mah Magnetic Wireless Charging Power Bank. With 20W PD Output.)",17.00,0.00,3876.30,0.00,0.00,0.00,3876.30
"JB58 (JB58 - 20K Mah 65 Watt Power Bank.    Total 65W PD output)",569.00,0.00,0.00,0.00,0.00,2207.20,2207.20
"JB65 (JB65 - Black 3 in 1, 10K Mah Magnetic 15W Wireless Charging Power Bank..  C...",246.00,0.00,0.00,0.00,0.00,6237.00,6237.00
"JB66 (JB66 - 10,000ma Magnetic Wireless  Power Bank with LED.  Type C output. Inc...",24.00,0.00,18648.00,0.00,0.00,0.00,18648.00
"LY202 (LY202 -  3/4"" Polyester with Sublimation print.  Standard J Clip attachment.)",9.00,0.00,82.50,0.00,0.00,0.00,82.50
"LY61-BLACK (LY61- CableLanyard - Black Silicone Phone Lanyard / Charging Cable.  ...",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"LY61-WHITE (LY61- CableLanyard - White Silicone Phone Lanyard / Charging Cable.  ...",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"MA08-BLACK (MA08 Black Silicone Straw Topper for 40oz Stanley Cups.)",114.00,0.00,0.00,449.63,0.00,0.00,449.63
"MA08-BLUE (MA08 Blue Silicone Straw Topper for 40oz Stanley Cups.)",114.00,0.00,0.00,408.38,0.00,0.00,408.38
"MA08-WHITE (MA08 White Silicone Straw Topper for 40oz Stanley Cups.)",114.00,0.00,0.00,142.73,0.00,0.00,142.73
"MG04B (MG04B- Massage Gun)",73.00,0.00,13500.00,16298.59,0.00,0.00,29798.59
"MG06 (MG06 -Aurora Blue - Eye Massager)",575.00,0.00,0.00,0.00,0.00,451.03,451.03
"MG07 (MG07 - White Eye Massager)",253.00,0.00,0.00,0.00,0.00,3815.00,3815.00
"MR01-GREY (MR01 - Mobile Ring - Grey Metal Phone Holder Ring.)",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"MR01-PINK (MR01 - Mobile Ring - Pink Metal Phone Holder Ring.)",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"OM19-BLUE (OM19 - Zoom - Blue -  Wireless mouse.)",381.00,0.00,0.00,0.00,0.00,61.20,61.20
"OptConnect- Airgain-Modem (Opt Connect Airgain Modem)",67.00,0.00,0.00,1200.00,0.00,0.00,1200.00
"OptConnect-Gemini-Antenna (OptConnect Gemini Antenna)",67.00,0.00,0.00,250.00,0.00,0.00,250.00
"OptConnect-MPCIE-Cellular (Opt Connect MPCIE cellular modem adapter board)",67.00,0.00,0.00,426.70,0.00,0.00,426.70
"OptConnect-UFL-to-SMA -Antenna (Opt Connect U.FL to SMA  Antenna Leads)",67.00,0.00,0.00,100.00,0.00,0.00,100.00
"PH21 (PH21 - Black Stick on Magnetic Phone Holder)",248.00,0.00,0.00,0.00,0.00,131.86,131.86
"PH24 (PH24 - Black Car Cup Mount Phone Holder.)",256.00,0.00,0.00,0.00,0.00,2704.41,2704.41
"PH26 (PH26 - Black Vent Mount Gravity Phone Holder.)",397.00,0.00,0.00,0.00,0.00,0.00,0.00
"PH29 (PH29 - Deluxe Black AirPlane Phone Holder.)",263.00,0.00,0.00,0.00,0.00,1496.25,1496.25
"PH30 (PH30 - Deluxe Black AirPlane Phone Holder.)",263.00,0.00,0.00,0.00,0.00,3009.60,3009.60
"PK-EK310 (Black Leatherette Zipper Case with Foam Cut out for JB17, AC05, pocket ...",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"PK-ST01-WS (PK-ST01-WS -  Wheat Straw tube for ST01B.  Eco friendly biodegradable...",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"PK313 (Black Leatherette Zipper case.)",759.00,0.00,0.00,0.00,0.00,0.00,0.00
"PM01-BLACK (PM01 - Pointer Mouse - Black hand held mouse, stylus and powerpoint p...",117.00,0.00,0.00,117.92,0.00,0.00,117.92
"PN01-BLACK (PN01 - Tactical Pen - Black.  Black Aluminum pen with glass breaker.)",469.00,0.00,0.00,0.00,0.00,256.23,256.23
"PROP65-CD (Prop65 Sticker - Cadmium.)",397.00,0.00,0.00,0.00,0.00,0.00,0.00
"PROP65-PB (Prop65 Sticker - Lead.)",397.00,0.00,0.00,0.00,0.00,0.00,0.00
"PROP65-PT (Prop65 Sticker - Pthlates.)",397.00,0.00,0.00,0.00,0.00,0.00,0.00
"PW01-BLACK (PW01 - Phone Wallet - Black Silicone Phone Wallet for mobile devices....",99.00,86.25,0.00,0.00,0.00,74.75,161.00
"PW01-BLUE (PW01 - Phone Wallet - Blue Silicone Phone Wallet for mobile devices. P...",704.00,0.00,0.00,0.00,0.00,0.00,0.00
"PW01-RED (PW01 - Phone Wallet - Red Silicone Phone Wallet for mobile devices. Per...",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"PW01-WHITE (PW01 - Phone Wallet - White Silicone Phone Wallet for mobile devices....",724.00,0.00,0.00,0.00,0.00,0.00,0.00
"PW06B-BLACK (PW06 - Double Phone Wallet - Black Silicone Phone 2 pocket Wallet fo...",295.00,0.00,0.00,0.00,0.00,59.56,59.56
"RFID52 (RFID52 - Digital Business Card powered by Hiwav.  PVC RFID business card ...",70.00,0.00,0.00,732.00,0.00,0.00,732.00
"SC21B-DARKBLUE (SC21B  -Spray & Wipe, Navy  Blue, Water based screen cleaner with...",193.00,0.00,0.00,0.00,0.00,10161.67,10161.67
"SC21B-GREY (SC21B  -Spray & Wipe,  Grey,   Water based screen cleaner with integr...",193.00,0.00,0.00,0.00,0.00,23853.79,23853.79
"Seneca-HDsV4 (Intel Celeron, 8GB DDR4, 64GB eMMC, 1x Realtek Gigabit 10/100/1000 ...",370.00,0.00,0.00,0.00,0.00,6405.00,6405.00
"SL02B-BLACK (SL02B -Selfie Ring - Black, Round Selfie Light for Mobile phones.)",624.00,0.00,0.00,0.00,0.00,1039.26,1039.26
"SL07-BLACK (SL07 -10"" Ring light with Tripod stand and phone holder.)",336.00,0.00,0.00,318.25,0.00,0.00,318.25
"SL14-WHITE (SL14 -Selfie Ring - White, Round Selfie Light for Mobile phones with ...",35.00,0.00,9000.00,28.80,72.00,0.00,9100.80
"SLV04-BLACK (SLV04-Black - Vaccine Card Holder-)",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"SP66B-BLACK (SP66 -"""" Black Bluetooth Speaker.)",18.00,0.00,3877.20,0.00,0.00,0.00,3877.20
"SP76-WHITE (SP76 - White Bluetooth Wireless Speaker with integrated Wireless Char...",66.00,0.00,9400.00,0.00,1927.00,0.00,11327.00
"SP82B (SP82 - Wood light up Bluetooth speaker.  Recharges vis USB C.)",644.00,0.00,0.00,0.00,0.00,1597.75,1597.75
"SP88B (SP88B - Black - IPX 7 Waterproof Bluetooth speaker.  Recharges via Type C.)",200.00,0.00,9300.00,0.00,0.00,7058.50,16358.50
"SP89B (SP89B - Black - Rectangular IPX 4 Water proof   Bluetooth speaker with car...",290.00,0.00,0.00,0.00,0.00,17045.60,17045.60
"SP91 (SP91 - Bamboo Wireless speaker with convenient phone holder on top.)",397.00,0.00,0.00,0.00,0.00,11734.45,11734.45
"ST01B-BLUE (ST01B - Blue  Silicone / Stainless Steel retractable straw.)",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"ST01B-RED (ST01B - Red Silicone / Stainless Steel retractable straw.)",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"TA06 (TA06 -Black with Grey Trim Universal Travel Adapter, with 4 USB (Total 2.4A...",175.00,0.00,0.00,0.00,7315.00,0.00,7315.00
"TA11-BLACK (TA11 - Travel Spot -Black Travel Charger.  Features 2  integrated USB...",382.00,0.00,0.00,0.00,0.00,3820.50,3820.50
"TA14-WHITE (TA14 -White Travel Adapter / Charger.  Features 1 USBA and 1 USB Type...",114.00,0.00,0.00,3945.00,0.00,0.00,3945.00
"TA15-BLACK (TA15- Travel Spot -Black Basic Travel Adapter.)",35.00,0.00,2400.00,0.00,0.00,0.00,2400.00
"TL09-BLACK (TL09- Black 3 in 1 COB Flashlight with Magnet, Glass Breaker and Seat...",547.00,0.00,0.00,0.00,0.00,1659.84,1659.84
"TS01-BLACK (TS01 - The Digit - Black, Capacitive Touch Stylus)",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"TS01-SILVER (TS01 - The Digit - Silver, Capacitive Touch Stylus)",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"TS11B (TS11B - Zinc Alloy Keychain / Stylus / Door Opener.)",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"TT14-BLACK (TT14-Silicone Popper Game - Black)",438.00,0.00,0.00,0.00,0.00,1149.99,1149.99
"TT14-RED (TT14-Silicone Popper Game - Red)",172.00,0.00,0.00,0.00,50.80,0.00,50.80
"TT15 (TT15 - Mini silicone Popper)",133.00,0.00,0.00,0.00,629.65,0.00,629.65
"TT17 (TT17 Hamburger Popper.)",176.00,2.45,0.00,0.00,736.75,0.00,739.20
"UD20-U2-128M (UD20 - Twist -  128MB  USB 2.0 Drive)",10.00,0.00,8.71,0.00,0.00,0.00,8.71
"UD20-U2-16G (UD20 - Twist -  16G  USB 2.0 Drive)",9.00,0.00,2.30,0.00,0.00,0.00,2.30
"UDPVC-U2-8G (UDPVC - Custom PVC Drive - 8GB  USB 2.0 Drive)",9.00,0.00,8.68,0.00,0.00,0.00,8.68
"UH25 (UH25 - Silver 7 in 1 USB C Hub.1- USB C to 87W PD, 3 USB, 1 HDMI, 1-SD, 1-T...",397.00,0.00,0.00,0.00,0.00,0.00,0.00
"UH26 (UH26 - Space Grey, Type C 3 Port USB 3.0 Hub.)",496.00,0.00,0.00,0.00,0.00,632.95,632.95
"UH37B (UH37B - Bamboo Type A/C  4 port USB Hub.  integrated USB A/C input cable,....",35.00,0.00,13.75,0.00,0.00,0.00,13.75
"UH38B (UH38B - Bamboo Type A/C  4 port USB Hub.  integrated USB A/C input cable,....",35.00,0.00,11.75,0.00,0.00,0.00,11.75
"WC-ADAPTER-APPLE (Apple Lightning adapter White for wireless chargers.)",397.00,0.00,0.00,0.00,0.00,0.00,0.00
"WC-ADAPTER-MICRO (Micro USB adapter Black  for wireless chargers.)",397.00,0.00,0.00,0.00,0.00,0.00,0.00
"WC10B-WHITE/WHITE (WC10B -Wireless Charger -  White with White trim.  Compatible ...",39.00,0.00,11050.00,3253.80,0.00,0.00,14303.80
"WC16B-WHITE (WC16 - """" - Clear White with black trim,  Wireless Qi Charger.  Uses...",940.00,0.00,0.00,0.00,0.00,1036.07,1036.07
"WC21B (WC21B - Black Quick Charge 10W Phone Stand Wireless Charger.  Output : 15W...",35.00,51.10,1314.00,0.00,0.00,0.00,1365.10
"WC35-BLACK (WC35 - Black 15 Watt, 4 in 1 wireless charger.  Charges phone, airpod...",498.00,0.00,0.00,0.00,0.00,8575.00,8575.00
"WC36-BLACK (WC36 - Black 15 Watt, 3 in 1 wireless charger.  Charges phone, airpod...",413.00,0.00,0.00,0.00,0.00,14467.00,14467.00
"WC38B-WHITE (WC38B - White 15 Watt, 3 in 1 folding wireless charger with Plastic ...",274.00,0.00,0.00,0.00,0.00,9543.60,9543.60
"WC41 (WC41 - 15Watt White  Wireless Charger, Type C input :5V/3A?9V/2A , Wireless...",30.00,0.00,5000.00,1609.40,0.00,0.00,6609.40
"WC42 (WC42 - 15Watt Black Vent Mount Wireless Charger, Type C input :5V/3A?9V/2A ...",662.00,0.00,0.00,0.00,0.00,9150.40,9150.40
"WC43-BLACK (WC43 - Black 15 Watt, 3 in 1 wireless charger.  Charges phone, airpod...",43.00,0.00,162.00,0.00,0.00,0.00,162.00
"WC45-BLACK (WC45- Black Magnetic Max 15Watt 3 in 1 Wireless charger with built in...",303.00,0.00,0.00,0.00,0.00,7466.80,7466.80
"WC46 (WC46- Black Magnetic Max 15Watt Flexible Car Phone Holder)",284.00,0.00,0.00,0.00,0.00,3048.00,3048.00
"WC47 (WC47-Space Grey Rotating 3 in 1 Wireless Charging Desktop Phone Stand. 15W ...",207.00,0.00,0.00,0.00,0.00,8445.60,8445.60
"WC48 (WC48 White Qi2.0  Magnetic  Wireless Charger. Wireless charger output:15W/1...",191.00,0.00,0.00,0.00,0.00,11843.75,11843.75
"WC50 (WC50 - Black / Transparent 15Watt   Wireless Charger, Type C input :5V/3A 9...",668.00,0.00,0.00,0.00,0.00,4301.95,4301.95
"WC51 (WC51 - Black / Transparent Dual -  15Watt   Wireless Charger, Type C input ...",428.00,0.00,0.00,0.00,0.00,4088.50,4088.50
"Total Inventory","",183.88,761084.58,224087.91,79855.50,492806.64,1558018.51
"TOTAL","",183.88,761084.58,224087.91,79855.50,492806.64,1558018.51
