,"Average Days in Stock","Current","1 - 60","61 - 120","121 - 180","> 180","TOTAL"
"Inventory","","","","","","",
"20-0160-2902 (Black Back Cover for 20-3011-1263)",262.00,0.00,0.00,0.00,0.00,4.14,4.14
"20-0160-3664 (Box : 27"" for 20-3006-1062)",123.00,0.00,0.00,0.00,82.92,0.00,82.92
"20-0160-3665 (Packaging for 27"" for 20-3006-1062)",123.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-0160-3666 (Packaging for 27"" for 20-3006-1062)",123.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-0160-3719 (Box : 27"" for 20-3006-1062)",123.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-0160-7474 (White 39.4"" LiveTry Bracket - Center Notch for , Direct/Corp stores)",88.00,0.00,0.00,9.60,0.00,0.00,9.60
"20-3000-0187 (BrightSign Built-In USB 10+1 push button board)",638.00,0.00,0.00,0.00,0.00,63.50,63.50
"20-3000-0431 (R Series Core Board 2GB DDR 32GB eMMC)",306.00,0.00,0.00,671.50,671.50,327.67,1670.67
"20-3000-0432 (R Series Core Board 4GB DDR 16GB eMMC)",94.00,0.00,0.00,1516.80,303.36,0.00,1820.16
"20-3000-0436 (R Series Core Board 4GB DDR 64GB eMMC)",393.00,0.00,0.00,0.00,515.46,253.14,768.60
"20-3000-0456 (Touch screen board for 20-3012-1039)",367.00,0.00,0.00,0.00,0.00,200.00,200.00
"20-3000-0458 (USB Camera Module, 5M Pixel Color CMOS Sensor)",184.00,0.00,0.00,0.00,0.00,21.60,21.60
"20-3000-0468 (Remote Control for 20-3012-1039)",15.00,0.00,5.70,0.00,0.00,0.00,5.70
"20-3000-0490 (UP board N3350 2GB/32GB)",500.00,0.00,0.00,0.00,0.00,135.20,135.20
"20-3000-0499 (Wifi Module, Intel, Wi-Fi5, 3165)",409.00,0.00,0.00,0.00,0.00,76.08,76.08
"20-3000-0500 (G2 Intel Celeron J6412, 4GB/64GB, with fan, audio out, 6xUSB, HDMI-...",603.00,0.00,0.00,0.00,0.00,320.00,320.00
"20-3000-0517 (G1 Intel Celeron 4GB/32GB, no fan, audio out, MIC in, 2xUSB, Serial...",480.00,0.00,0.00,0.00,0.00,1325.35,1325.35
"20-3000-0518 (G1 Intel Celeron 4GB/128GB, no fan, audio out, MIC in, 2xUSB, Seria...",409.00,0.00,0.00,0.00,0.00,575.95,575.95
"20-3000-0519 (G1 Intel Celeron 4GB/64GB, no fan, audio out, MIC in, 2xUSB, Serial...",297.00,0.00,0.00,0.00,0.00,311.52,311.52
"20-3000-0528 (V56 Companion Board for 20-3009-1270)",231.00,0.00,0.00,0.00,0.00,30.00,30.00
"20-3000-0551 (128GB mSATA SSD for G1)",455.00,0.00,0.00,0.00,0.00,44.50,44.50
"20-3000-0559 (Intel N97 board 16GB/128GB)",115.00,0.00,0.00,5557.50,0.00,0.00,5557.50
"20-3000-0568 (Intel N97 board 8GB/128GB)",5.00,0.00,7837.11,0.00,0.00,0.00,7837.11
"20-3000-0569 (Intel N97 board 4GB/128GB)",272.00,0.00,0.00,0.00,0.00,206.28,206.28
"20-3000-0572 (Intel N97 board 8GB/64GB)",143.00,0.00,0.00,0.00,112.25,0.00,112.25
"20-3000-0578 (Intel wifi5 9560 w/ 2x ANT)",17.00,0.00,164.40,0.00,0.00,0.00,164.40
"20-3000-1060 (Motion sensor 610mm wire length)",1715.00,0.00,4.47,0.00,0.00,132.99,137.46
"20-3000-1096 (BUTTON White plastic LED button standard wire length /3pin)",2226.00,0.00,0.00,0.00,0.00,38.50,38.50
"20-3000-1107 (Empty battery clip for 8 piece ""D"" cell batteries)",2314.00,0.00,0.00,0.00,0.00,143.50,143.50
"20-3000-1158 (BUTTON White Metal LED Button Installation Size 16mm 610mm wire 3pi...",961.00,0.00,0.00,0.00,0.00,36.54,36.54
"20-3000-1173 (15.6"" Open Frame Quad Corre Android Touch 1920x1080)",2314.00,0.00,0.00,0.00,0.00,683.40,683.40
"20-3000-1181 (7"" C300 Frameless / Metal no back cover 800x480)",2314.00,0.00,0.00,0.00,0.00,943.89,943.89
"20-3000-1200 (Empty battery clip for 6 piece ""D"" cell batteries)",1994.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3000-1203 (10.1"" Open Frame C300 Narrow frame 1280x800)",2314.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3000-1232 (10.1"" Frameless C300 Metal 1280x800)",1584.00,0.00,0.00,0.00,0.00,273.65,273.65
"20-3000-1234 (13.3"" Frameless Android Quad Core M802 Metal Standard 1920x1080)",2314.00,0.00,0.00,0.00,0.00,564.82,564.82
"20-3000-1278 (7"" C300 Metal Frameless Standard Config 800x480)",2314.00,0.00,0.00,0.00,0.00,932.36,932.36
"20-3000-1280 (Red Metal LED Button Installation Size 16mm 610mm wire 3pin 3.3V)",1932.00,0.00,0.00,0.00,0.00,224.54,224.54
"20-3000-1289 (BUTTON Metal Button with White LED Installation Size 16mm 610mm wir...",1943.00,0.00,0.00,0.00,0.00,403.52,403.52
"20-3000-1303 (7"" Frameless C300 Metal Low Cost Config Micro SD 800x480)",1135.00,0.00,0.00,0.00,0.00,576.29,576.29
